pair_id,split,dx,dy,abs_x,abs_y,px,py,sx,sy,x_ratio,y_ratio,x_match,y_match
pair_000025,test,341.0,-527.0,341.0,527.0,17.86,43.48,0.0912,0.0712,19.096,12.121,True,True
pair_000026,test,256.0,-508.0,256.0,508.0,16.13,38.46,0.0776,0.0866,15.872,13.208,True,False
pair_000027,test,0.0,-780.0,0.0,780.0,15.87,45.45,0.0705,0.1101,0.000,17.160,False,True
pair_000028,test,0.0,573.0,0.0,573.0,12.99,43.48,0.0873,0.0977,0.000,13.179,False,True
pair_000029,test,0.0,-176.0,0.0,176.0,14.08,43.48,0.0629,0.1471,0.000,4.048,False,True
pair_000000,train,70.0,58.0,70.0,58.0,10.00,29.41,0.1134,0.0821,7.000,1.972,True,True
pair_000001,train,-415.0,106.0,415.0,106.0,16.13,34.48,0.0788,0.0896,25.730,3.074,False,True
pair_000002,train,384.0,236.0,384.0,236.0,16.13,47.62,0.0909,0.1398,23.808,4.956,True,True
pair_000003,train,-459.0,404.0,459.0,404.0,16.95,31.25,0.0845,0.0785,27.081,12.928,True,True
pair_000004,train,579.0,1.0,579.0,1.0,16.95,34.48,0.1315,0.0914,34.161,0.000,True,False
pair_000005,train,203.0,252.0,203.0,252.0,12.05,35.71,0.0898,0.1287,16.849,7.056,True,True
pair_000006,train,190.0,-41.0,190.0,41.0,10.00,41.67,0.0694,0.0903,19.000,0.984,True,True
pair_000007,train,-168.0,80.0,168.0,80.0,12.99,38.46,0.1342,0.1063,12.936,2.080,True,True
pair_000008,train,-253.0,1.0,253.0,1.0,10.99,45.45,0.0589,0.1376,23.023,0.000,True,False
pair_000009,train,0.0,0.0,0.0,0.0,14.08,47.62,0.0881,0.1462,0.000,0.000,False,False
pair_000010,train,511.0,420.0,511.0,420.0,14.93,41.67,0.1065,0.1328,34.237,10.080,False,True
pair_000011,train,0.0,-63.0,0.0,63.0,17.86,32.26,0.0502,0.0679,0.000,1.953,False,True
pair_000012,train,192.0,418.0,192.0,418.0,12.05,38.46,0.0670,0.0828,15.936,10.868,True,True
pair_000013,train,-627.0,-369.0,627.0,369.0,10.99,41.67,0.0666,0.0598,57.057,8.856,True,True
pair_000014,train,396.0,0.0,396.0,0.0,10.99,27.78,0.0761,0.0812,36.036,0.000,True,False
pair_000015,train,-240.0,-495.0,240.0,495.0,15.87,31.25,0.0854,0.0967,15.120,15.840,True,True
pair_000016,train,1.0,-279.0,1.0,279.0,10.99,45.45,0.0950,0.1005,0.000,6.138,False,True
pair_000017,train,-182.0,282.0,182.0,282.0,14.08,40.00,0.0641,0.1537,12.922,7.050,True,True
pair_000018,train,431.0,341.0,431.0,341.0,16.13,34.48,0.0445,0.1009,26.722,9.889,False,True
pair_000019,train,1.0,1.0,1.0,1.0,12.99,41.67,0.1189,0.1330,0.000,0.000,False,False
pair_000020,train,0.0,-174.0,0.0,174.0,10.00,34.48,0.1133,0.0959,0.000,5.046,False,True
pair_000021,validation,0.0,-460.0,0.0,460.0,10.00,45.45,0.0631,0.0694,0.000,10.120,False,True
pair_000022,validation,-516.0,164.0,516.0,164.0,10.99,33.33,0.0958,0.1032,46.956,4.920,True,True
pair_000023,validation,304.0,261.0,304.0,261.0,15.87,28.57,0.0761,0.0916,19.152,9.135,True,True
pair_000024,validation,256.0,-256.0,256.0,256.0,14.93,32.26,0.0936,0.1214,17.152,7.936,True,True
