pair_id,split,arch,gt_x,gt_y,pred_x,pred_y,error_px,acc5,acc50,abs_error_x,abs_error_y,error_category,confidence,elapsed_ms,candidates_evaluated
pair_000025,test,FINFET,213,722,554,195,627.7022,0,0,341.0,527.0,BOTH_WRONG,0.735,1605.1,50
pair_000026,test,FINFET,446,852,702,344,568.8585,0,0,256.0,508.0,BOTH_WRONG,0.9443,1103.2,50
pair_000027,test,FINFET,245,857,245,77,780.0000,0,0,0.0,780.0,X_ONLY_CORRECT,0.5401,1168.7,50
pair_000028,test,FINFET,757,144,757,717,573.0000,0,0,0.0,573.0,X_ONLY_CORRECT,0.9255,3095.2,50
pair_000029,test,FINFET,114,754,114,578,176.0000,0,0,0.0,176.0,X_ONLY_CORRECT,0.8309,1698.9,50
pair_000000,train,FINFET,332,139,402,197,90.9065,0,0,70.0,58.0,BOTH_WRONG,0.7842,1050.7,50
pair_000001,train,FINFET,515,358,100,464,428.3235,0,0,415.0,106.0,BOTH_WRONG,0.683,934.4,50
pair_000002,train,FINFET,148,472,532,708,450.7239,0,0,384.0,236.0,BOTH_WRONG,0.8129,1026.0,50
pair_000003,train,FINFET,606,346,147,750,611.4712,0,0,459.0,404.0,BOTH_WRONG,0.8978,1275.4,50
pair_000004,train,FINFET,305,513,884,514,579.0009,0,0,579.0,1.0,Y_ONLY_CORRECT,0.8198,1287.8,50
pair_000005,train,FINFET,441,438,644,690,323.5939,0,0,203.0,252.0,BOTH_WRONG,0.9332,1277.2,50
pair_000006,train,FINFET,412,603,602,562,194.3734,0,0,190.0,41.0,BOTH_WRONG,0.855,1273.0,50
pair_000007,train,FINFET,611,526,443,606,186.0753,0,0,168.0,80.0,BOTH_WRONG,0.6722,1124.7,50
pair_000008,train,FINFET,557,600,304,601,253.0020,0,0,253.0,1.0,Y_ONLY_CORRECT,0.5593,1147.5,50
pair_000009,train,FINFET,399,638,399,638,0.0000,1,1,0.0,0.0,BOTH_CORRECT,0.9408,1112.4,50
pair_000010,train,FINFET,406,142,917,562,661.4537,0,0,511.0,420.0,BOTH_WRONG,0.8041,1126.6,50
pair_000011,train,FINFET,182,481,182,418,63.0000,0,0,0.0,63.0,X_ONLY_CORRECT,0.7523,1073.7,50
pair_000012,train,FINFET,619,218,811,636,459.9870,0,0,192.0,418.0,BOTH_WRONG,0.6724,893.2,50
pair_000013,train,FINFET,851,623,224,254,727.5232,0,0,627.0,369.0,BOTH_WRONG,0.6558,1169.1,50
pair_000014,train,FINFET,482,731,878,731,396.0000,0,0,396.0,0.0,Y_ONLY_CORRECT,0.7617,1345.8,50
pair_000015,train,FINFET,490,673,250,178,550.1136,0,0,240.0,495.0,BOTH_WRONG,0.7123,1313.8,50
pair_000016,train,FINFET,413,699,414,420,279.0018,0,0,1.0,279.0,X_ONLY_CORRECT,0.9429,1303.2,50
pair_000017,train,FINFET,448,626,266,908,335.6307,0,0,182.0,282.0,BOTH_WRONG,0.8932,1451.7,50
pair_000018,train,FINFET,488,418,919,759,549.5835,0,0,431.0,341.0,BOTH_WRONG,0.6394,1089.1,50
pair_000019,train,FINFET,232,735,233,736,1.4142,1,1,1.0,1.0,BOTH_CORRECT,0.9048,1194.1,50
pair_000020,train,FINFET,641,648,641,474,174.0000,0,0,0.0,174.0,X_ONLY_CORRECT,0.9083,1166.6,50
pair_000021,validation,FINFET,870,716,870,256,460.0000,0,0,0.0,460.0,X_ONLY_CORRECT,0.6909,1420.7,50
pair_000022,validation,FINFET,776,454,260,618,541.4351,0,0,516.0,164.0,BOTH_WRONG,0.8967,1224.3,50
pair_000023,validation,FINFET,630,160,934,421,400.6707,0,0,304.0,261.0,BOTH_WRONG,0.5965,1161.8,50
pair_000024,validation,FINFET,313,416,569,160,362.0387,0,0,256.0,256.0,BOTH_WRONG,0.9077,1277.3,50
