pair_id,gt_x,gt_y,base_px,base_py,base_err,v2_px,v2_py,v2_err,improvement
pair_000025,213,722,554,195,627.70,554,195,627.70,0.00
pair_000026,446,852,702,344,568.86,702,344,568.86,0.00
pair_000027,245,857,245,77,780.00,245,77,780.00,0.00
pair_000028,757,144,757,717,573.00,757,717,573.00,0.00
pair_000029,114,754,114,578,176.00,114,578,176.00,0.00
pair_000000,332,139,402,197,90.91,402,197,90.91,0.00
pair_000001,515,358,100,464,428.32,100,464,428.32,0.00
pair_000002,148,472,532,708,450.72,532,708,450.72,0.00
pair_000003,606,346,147,750,611.47,147,750,611.47,0.00
pair_000004,305,513,884,514,579.00,884,514,579.00,0.00
pair_000005,441,438,644,690,323.59,644,690,323.59,0.00
pair_000006,412,603,602,562,194.37,602,562,194.37,0.00
pair_000007,611,526,443,606,186.08,443,606,186.08,0.00
pair_000008,557,600,304,601,253.00,304,601,253.00,0.00
pair_000009,399,638,399,638,0.00,399,638,0.00,0.00
pair_000010,406,142,917,562,661.45,917,562,661.45,0.00
pair_000011,182,481,182,418,63.00,182,418,63.00,0.00
pair_000012,619,218,811,636,459.99,811,636,459.99,0.00
pair_000013,851,623,224,254,727.52,224,254,727.52,0.00
pair_000014,482,731,878,731,396.00,878,731,396.00,0.00
pair_000015,490,673,250,178,550.11,250,178,550.11,0.00
pair_000016,413,699,414,420,279.00,414,420,279.00,0.00
pair_000017,448,626,266,908,335.63,266,908,335.63,0.00
pair_000018,488,418,919,759,549.58,919,759,549.58,0.00
pair_000019,232,735,233,736,1.41,233,736,1.41,0.00
pair_000020,641,648,641,474,174.00,641,474,174.00,0.00
pair_000021,870,716,870,256,460.00,870,256,460.00,0.00
pair_000022,776,454,260,618,541.44,260,618,541.44,0.00
pair_000023,630,160,934,421,400.67,934,421,400.67,0.00
pair_000024,313,416,569,160,362.04,569,160,362.04,0.00
